date,region,transport_type,users
2021-01-25,Geneva,Tram,984
2021-01-25,Geneva,Boat,954
2021-01-25,Basel,Train,972
2021-01-25,Basel,Bus,953
2021-01-25,Basel,Tram,979
2021-01-25,Basel,Boat,986
2021-01-25,Bern,Train,974
2021-01-25,Bern,Bus,983
2021-01-25,Bern,Tram,953
2021-01-25,Bern,Boat,1024
2021-01-25,Lausanne,Train,993
2021-01-25,Lausanne,Bus,953
2021-01-25,Lausanne,Tram,1008
2021-01-25,Lausanne,Boat,981
2021-01-26,Zurich,Train,999
2021-01-26,Zurich,Bus,990
2021-01-26,Zurich,Tram,1067
2021-01-26,Zurich,Boat,1021
2021-01-26,Geneva,Train,1015
2021-01-26,Geneva,Bus,970
2021-01-26,Geneva,Tram,1019
2021-01-26,Geneva,Boat,1058
2021-01-26,Basel,Train,979
2021-01-26,Basel,Bus,989
2021-01-26,Basel,Tram,1016
2021-01-26,Basel,Boat,982
2021-01-26,Bern,Train,1045
2021-01-26,Bern,Bus,1014
2021-01-26,Bern,Tram,1004
2021-01-26,Bern,Boat,952
2021-01-26,Lausanne,Train,1031
2021-01-26,Lausanne,Bus,1012
2021-01-26,Lausanne,Tram,966
2021-01-26,Lausanne,Boat,1027
2021-01-27,Zurich,Train,1063
2021-01-27,Zurich,Bus,996
2021-01-27,Zurich,Tram,970
2021-01-27,Zurich,Boat,968
2021-01-27,Geneva,Train,956
2021-01-27,Geneva,Bus,1015
2021-01-27,Geneva,Tram,948
2021-01-27,Geneva,Boat,979
2021-01-27,Basel,Train,1090
2021-01-27,Basel,Bus,1031
2021-01-27,Basel,Tram,1006
2021-01-27,Basel,Boat,1029
2021-01-27,Bern,Train,990
2021-01-27,Bern,Bus,1009
2021-01-27,Bern,Tram,992
2021-01-27,Bern,Boat,1018
2021-01-27,Lausanne,Train,977
2021-01-27,Lausanne,Bus,996
2021-01-27,Lausanne,Tram,1039
2021-01-27,Lausanne,Boat,1045
2021-01-28,Zurich,Train,994
2021-01-28,Zurich,Bus,1026
2021-01-28,Zurich,Tram,1028
2021-01-28,Zurich,Boat,1029
2021-01-28,Geneva,Train,1030
2021-01-28,Geneva,Bus,998
2021-01-28,Geneva,Tram,961
2021-01-28,Geneva,Boat,929
2021-01-28,Basel,Train,983
2021-01-28,Basel,Bus,1037
2021-01-28,Basel,Tram,1015
2021-01-28,Basel,Boat,1040
2021-01-28,Bern,Train,994
2021-01-28,Bern,Bus,1016
2021-01-28,Bern,Tram,1011
2021-01-28,Bern,Boat,1044
2021-01-28,Lausanne,Train,1020
2021-01-28,Lausanne,Bus,991
2021-01-28,Lausanne,Tram,1033
2021-01-28,Lausanne,Boat,1010
2021-01-29,Zurich,Train,1033
2021-01-29,Zurich,Bus,1083
2021-01-29,Zurich,Tram,982
2021-01-29,Zurich,Boat,1015
2021-01-29,Geneva,Train,1026
2021-01-29,Geneva,Bus,974
2021-01-29,Geneva,Tram,977
2021-01-29,Geneva,Boat,1018
2021-01-29,Basel,Train,965
2021-01-29,Basel,Bus,992
2021-01-29,Basel,Tram,981
2021-01-29,Basel,Boat,987
2021-01-29,Bern,Train,1007
2021-01-29,Bern,Bus,945
2021-01-29,Bern,Tram,1026
2021-01-29,Bern,Boat,1020
2021-01-29,Lausanne,Train,980
2021-01-29,Lausanne,Bus,1004
2021-01-29,Lausanne,Tram,1078
2021-01-29,Lausanne,Boat,1029
2021-01-30,Zurich,Train,1007
2021-01-30,Zurich,Bus,1067
2021-01-30,Zurich,Tram,962
2021-01-30,Zurich,Boat,947
2021-01-30,Geneva,Train,972
2021-01-30,Geneva,Bus,1019
2021-01-30,Geneva,Tram,1042
2021-01-30,Geneva,Boat,1000
2021-01-30,Basel,Train,1013
2021-01-30,Basel,Bus,952
2021-01-30,Basel,Tram,965
2021-01-30,Basel,Boat,983
2021-01-30,Bern,Train,1045
2021-01-30,Bern,Bus,983
2021-01-30,Bern,Tram,970
2021-01-30,Bern,Boat,956
2021-01-30,Lausanne,Train,1048
2021-01-30,Lausanne,Bus,970
2021-01-30,Lausanne,Tram,1013
2021-01-30,Lausanne,Boat,977
2021-01-31,Zurich,Train,971
2021-01-31,Zurich,Bus,969
2021-01-31,Zurich,Tram,928
2021-01-31,Zurich,Boat,960
2021-01-31,Geneva,Train,981
2021-01-31,Geneva,Bus,1003
2021-01-31,Geneva,Tram,991
2021-01-31,Geneva,Boat,992
2021-01-31,Basel,Train,999
2021-01-31,Basel,Bus,996
2021-01-31,Basel,Tram,1044
2021-01-31,Basel,Boat,999
2021-01-31,Bern,Train,991
2021-01-31,Bern,Bus,980
2021-01-31,Bern,Tram,1050
2021-01-31,Bern,Boat,1010
2021-01-31,Lausanne,Train,1035
2021-01-31,Lausanne,Bus,1043
2021-01-31,Lausanne,Tram,978
2021-01-31,Lausanne,Boat,1002
2021-02-01,Zurich,Train,1063
2021-02-01,Zurich,Bus,996
2021-02-01,Zurich,Tram,1026
2021-02-01,Zurich,Boat,983
2021-02-01,Geneva,Train,1016
2021-02-01,Geneva,Bus,995
2021-02-01,Geneva,Tram,983
2021-02-01,Geneva,Boat,1001
2021-02-01,Basel,Train,1020
2021-02-01,Basel,Bus,934
2021-02-01,Basel,Tram,1015
2021-02-01,Basel,Boat,1003
2021-02-01,Bern,Train,988
2021-02-01,Bern,Bus,989
2021-02-01,Bern,Tram,987
2021-02-01,Bern,Boat,969
2021-02-01,Lausanne,Train,921
2021-02-01,Lausanne,Bus,995
2021-02-01,Lausanne,Tram,973
2021-02-01,Lausanne,Boat,1059
2021-02-02,Zurich,Train,1030
2021-02-02,Zurich,Bus,924
2021-02-02,Zurich,Tram,991
2021-02-02,Zurich,Boat,1027
2021-02-02,Geneva,Train,1020
2021-02-02,Geneva,Bus,1014
2021-02-02,Geneva,Tram,1005
2021-02-02,Geneva,Boat,1026
2021-02-02,Basel,Train,963
2021-02-02,Basel,Bus,993
2021-02-02,Basel,Tram,1042
2021-02-02,Basel,Boat,999
2021-02-02,Bern,Train,1023
2021-02-02,Bern,Bus,1030
2021-02-02,Bern,Tram,1000
2021-02-02,Bern,Boat,960
2021-02-02,Lausanne,Train,998
2021-02-02,Lausanne,Bus,1040
2021-02-02,Lausanne,Tram,986
2021-02-02,Lausanne,Boat,1037
2021-02-03,Zurich,Train,958
2021-02-03,Zurich,Bus,936
2021-02-03,Zurich,Tram,1054
2021-02-03,Zurich,Boat,1013
2021-02-03,Geneva,Train,921
2021-02-03,Geneva,Bus,1004
2021-02-03,Geneva,Tram,940
2021-02-03,Geneva,Boat,987
2021-02-03,Basel,Train,1008
2021-02-03,Basel,Bus,983
2021-02-03,Basel,Tram,977
2021-02-03,Basel,Boat,1012
2021-02-03,Bern,Train,1026
2021-02-03,Bern,Bus,1048
2021-02-03,Bern,Tram,1008
2021-02-03,Bern,Boat,1023
2021-02-03,Lausanne,Train,988
2021-02-03,Lausanne,Bus,952
2021-02-03,Lausanne,Tram,996
2021-02-03,Lausanne,Boat,1053
2021-02-04,Zurich,Train,1054
2021-02-04,Zurich,Bus,982
2021-02-04,Zurich,Tram,1014
2021-02-04,Zurich,Boat,1014
2021-02-04,Geneva,Train,1017
2021-02-04,Geneva,Bus,989
2021-02-04,Geneva,Tram,1008
2021-02-04,Geneva,Boat,1058
2021-02-04,Basel,Train,967
2021-02-04,Basel,Bus,969
2021-02-04,Basel,Tram,1001
2021-02-04,Basel,Boat,1022
2021-02-04,Bern,Train,1037
2021-02-04,Bern,Bus,982
2021-02-04,Bern,Tram,921
2021-02-04,Bern,Boat,978
2021-02-04,Lausanne,Train,1013
2021-02-04,Lausanne,Bus,1016
2021-02-04,Lausanne,Tram,968
2021-02-04,Lausanne,Boat,1002
2021-02-05,Zurich,Train,1030
2021-02-05,Zurich,Bus,1031
2021-02-05,Zurich,Tram,974
2021-02-05,Zurich,Boat,969
2021-02-05,Geneva,Train,1016
2021-02-05,Geneva,Bus,1082
2021-02-05,Geneva,Tram,1026
2021-02-05,Geneva,Boat,1006
2021-02-05,Basel,Train,1009
2021-02-05,Basel,Bus,1005
2021-02-05,Basel,Tram,991
2021-02-05,Basel,Boat,950
2021-02-05,Bern,Train,1038
2021-02-05,Bern,Bus,979
2021-02-05,Bern,Tram,1057
2021-02-05,Bern,Boat,1010
2021-02-05,Lausanne,Train,923
2021-02-05,Lausanne,Bus,1016
2021-02-05,Lausanne,Tram,1038
2021-02-05,Lausanne,Boat,975
2021-02-06,Zurich,Train,968
2021-02-06,Zurich,Bus,1026
2021-02-06,Zurich,Tram,1048
2021-02-06,Zurich,Boat,965
2021-02-06,Geneva,Train,954
2021-02-06,Geneva,Bus,993
2021-02-06,Geneva,Tram,1048
2021-02-06,Geneva,Boat,1037
2021-02-06,Basel,Train,982
2021-02-06,Basel,Bus,992
2021-02-06,Basel,Tram,982
2021-02-06,Basel,Boat,981
2021-02-06,Bern,Train,963
2021-02-06,Bern,Bus,976
2021-02-06,Bern,Tram,971
2021-02-06,Bern,Boat,956
2021-02-06,Lausanne,Train,1023
2021-02-06,Lausanne,Bus,980
2021-02-06,Lausanne,Tram,966
2021-02-06,Lausanne,Boat,954
2021-02-07,Zurich,Train,993
2021-02-07,Zurich,Bus,990
2021-02-07,Zurich,Tram,999
2021-02-07,Zurich,Boat,1033
2021-02-07,Geneva,Train,1009
2021-02-07,Geneva,Bus,974
2021-02-07,Geneva,Tram,1046
2021-02-07,Geneva,Boat,954
2021-02-07,Basel,Train,969
2021-02-07,Basel,Bus,1011
2021-02-07,Basel,Tram,1019
2021-02-07,Basel,Boat,963
2021-02-07,Bern,Train,971
2021-02-07,Bern,Bus,978
2021-02-07,Bern,Tram,965
2021-02-07,Bern,Boat,1019
2021-02-07,Lausanne,Train,1006
2021-02-07,Lausanne,Bus,1011
2021-02-07,Lausanne,Tram,997
2021-02-07,Lausanne,Boat,967
2021-02-08,Zurich,Train,994
2021-02-08,Zurich,Bus,943
2021-02-08,Zurich,Tram,1027
2021-02-08,Zurich,Boat,1026
2021-02-08,Geneva,Train,988
2021-02-08,Geneva,Bus,1029
2021-02-08,Geneva,Tram,1036
2021-02-08,Geneva,Boat,935
2021-02-08,Basel,Train,1012
2021-02-08,Basel,Bus,1024
2021-02-08,Basel,Tram,1035
2021-02-08,Basel,Boat,1004
2021-02-08,Bern,Train,1095
2021-02-08,Bern,Bus,1000
